fly_time:5.052, notolsr:0, recvcountgt:1483, recvcount:7887, z-index:0.4819
fly_time:5.0719, notolsr:0, recvcountgt:1483, recvcount:7887, z-index:0.4854
fly_time:5.0915, notolsr:0, recvcountgt:1483, recvcount:7887, z-index:0.4886
fly_time:5.1127, notolsr:0, recvcountgt:1483, recvcount:7887, z-index:0.4941
fly_time:5.1335, notolsr:0, recvcountgt:1484, recvcount:7889, z-index:0.4973
fly_time:5.1525, notolsr:0, recvcountgt:1484, recvcount:7889, z-index:0.5008
fly_time:5.1734, notolsr:0, recvcountgt:1485, recvcount:7890, z-index:0.5037
fly_time:5.1914, notolsr:0, recvcountgt:1485, recvcount:7890, z-index:0.5067
fly_time:5.2976, notolsr:0, recvcountgt:1485, recvcount:7890, z-index:0.5094
fly_time:5.3118, notolsr:0, recvcountgt:1485, recvcount:7890, z-index:0.5104
fly_time:5.3137, notolsr:0, recvcountgt:1485, recvcount:7890, z-index:0.5125
fly_time:5.3206, notolsr:0, recvcountgt:1486, recvcount:7892, z-index:0.5151
fly_time:5.3261, notolsr:0, recvcountgt:1486, recvcount:7892, z-index:0.5171
fly_time:5.3273, notolsr:0, recvcountgt:1486, recvcount:7892, z-index:0.5189
fly_time:5.3393, notolsr:0, recvcountgt:1487, recvcount:7893, z-index:0.5207
fly_time:5.3519, notolsr:0, recvcountgt:1487, recvcount:7893, z-index:0.5224
fly_time:5.3722, notolsr:0, recvcountgt:1487, recvcount:7893, z-index:0.5235
fly_time:5.3921, notolsr:0, recvcountgt:1487, recvcount:7893, z-index:0.525
fly_time:5.4124, notolsr:0, recvcountgt:1487, recvcount:7893, z-index:0.5242
fly_time:5.4328, notolsr:0, recvcountgt:1488, recvcount:7895, z-index:0.5253
fly_time:5.4522, notolsr:0, recvcountgt:1488, recvcount:7895, z-index:0.5266
fly_time:5.4723, notolsr:0, recvcountgt:1489, recvcount:7896, z-index:0.5276
fly_time:5.4939, notolsr:0, recvcountgt:1489, recvcount:7896, z-index:0.5284
fly_time:5.5133, notolsr:0, recvcountgt:1489, recvcount:7896, z-index:0.5293
fly_time:5.5325, notolsr:0, recvcountgt:1490, recvcount:7897, z-index:0.5303
fly_time:5.5532, notolsr:0, recvcountgt:1490, recvcount:7897, z-index:0.5317
fly_time:5.5723, notolsr:0, recvcountgt:1491, recvcount:7898, z-index:0.5327
fly_time:5.5927, notolsr:0, recvcountgt:1491, recvcount:7898, z-index:0.5344
fly_time:5.6123, notolsr:0, recvcountgt:1491, recvcount:7898, z-index:0.5354
